Brand,Model,Year_of_Manufacture,Condition,Transmission,Fuel_Type,Engine_Capacity,Mileage,Price_LKR
Peugeot,5008,2025,Import,Automatic,Hybrid,1200,0,37200000
Audi,A4,2013,Used,Automatic,Petrol,1800,109000,13850000
Other brand,Other model,2015,Brand New,Automatic,Diesel,2800,156231,32250000
Audi,A3,2023,Used,Automatic,Petrol,1000,10000,22500000
Honda,Vezel,2026,Brand New,Tiptronic,Hybrid,1500,0,18150000
Suzuki,Alto,2026,Brand New,Automatic,Petrol,1000,0,6950000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,10975000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,10975000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,10975000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11950000
Nissan,Classic Nissan Sunny HB310.,1980,"Well-maintained, smooth running, and mechanically sound.",Manual,Petrol,1400,196676,695000
Toyota,Corolla,1993,Used,Manual,Petrol,1300,120000,3100000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11450000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11450000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11450000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11450000
Honda,Vezel,2025,Brand New,Automatic,Petrol,1500,0,20750000
Volkswagen,Polo,2024,Reconditioned,Automatic,Petrol,1000,7000,11850000
Ford,Ranger,2025,Brand New,Automatic,Diesel,2000,0,38500000
Honda,Vezel,2026,Import,Automatic,Hybrid,1500,60,19150000
Ford,Ranger,2025,Brand New,Tiptronic,Petrol,3000,9000,37200000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,500,21450000
Mercedes Benz,C180,2010,Used,Automatic,Petrol,1600,145000,10000000
Mercedes Benz,G450d,2024,Brand New,Automatic,Diesel,3000,0,159500000
Jeep,Compass,2019,Used,Automatic,Petrol,1400,97000,13890000
Suzuki,Celerio,2015,Used,Automatic,Petrol,1000,137000,5375000
Toyota,Alphard,2024,Reconditioned,Automatic,Petrol,1800,14000,55500000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,31000,9585000
Volkswagen,Tiguan,2018,Used,Automatic,Petrol,1500,65800,17500000
Daewoo,Magnus,2001,Used,Automatic,Petrol,800,134000,2100000
Suzuki,Swift,2023,Reconditioned,Tiptronic,Petrol,1200,8600,11985000
Mercedes Benz,GLE 300D,2019,Used,Automatic,Diesel,2000,58000,46500000
Mercedes Benz,G Wagon,2025,Brand New,Automatic,Petrol,4000,0,235000000
Lexus,LS500h,2023,Reconditioned,Automatic,Hybrid,3500,11000,99500000
Chevrolet,Camaro,2024,Used,Automatic,Petrol,2000,19000,54500000
Morris,Minor,1960,Used,Manual,Petrol,1000,690000,1480000
Mercedes Benz,C200,2019,Used,Automatic,Petrol,1500,60000,27000000
Honda,Fit,2011,Used,Automatic,Hybrid,1400,155000,6650000
Toyota,Axio,2010,Used,Automatic,Petrol,1500,165000,7300000
Toyota,Corolla,1987,Used,Manual,Petrol,1300,145235,1200000
Mitsubishi,Lancer,1980,Used,Manual,Petrol,1400,100000,1450000
Toyota,Raize,2025,Brand New,Automatic,Petrol,1000,20000,11825000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,13575000
Toyota,Passo,2023,Used,Automatic,Petrol,1000,23800,8475000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,0,13890000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14590000
Nissan,X-Trail,2015,Used,Automatic,Hybrid,2000,125000,9800000
Audi,A3,2023,Used,Automatic,Petrol,1000,22000,17900000
BMW,318i,2018,Used,Automatic,Petrol,1500,44000,17900000
Mercedes Benz,E300,2014,Used,Automatic,Diesel,2200,55000,17500000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11695000
BMW,X1,2020,Used,Automatic,Petrol,2000,35000,19500000
Nissan,Sunny,1979,Used,Manual,Petrol,1200,157307,300000
Hyundai,Tucson,2007,Used,Manual,Diesel,1991,171000,6000000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11900000
Toyota,Vitz,2017,Used,Automatic,Petrol,1000,74000,8200000
Honda,Vezel,2026,Import,Automatic,Hybrid,1500,20,19178000
BMW,318i,2018,Used,Automatic,Petrol,1500,44000,17900000
Mercedes Benz,E300,2014,Used,Automatic,Diesel,2200,55000,17500000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11695000
BMW,X1,2020,Used,Automatic,Petrol,2000,35000,19500000
Nissan,Sunny,1979,Used,Manual,Petrol,1200,157307,300000
Hyundai,Tucson,2007,Used,Manual,Diesel,1991,171000,6000000
Toyota,Allion,2007,Used,Automatic,Petrol,1500,289000,7990000
Mercedes Benz,C200,2018,Used,Automatic,Petrol,1500,46000,25700000
Honda,Grace,2017,Used,Automatic,Hybrid,1500,160000,10700000
Maruti Suzuki,800,2006,100% Engine & Body,Manual,Petrol,796,43258,2100000
Bajaj,Qute,2017,Used,Manual,Petrol,216,60000,1100000
Subaru,XV,2013,Used,Automatic,Hybrid,1995,184000,2200000
BMW,523i,2010,Used,Automatic,Petrol,3000,97000,15200000
Mercedes Benz,C200,2019,Used,Automatic,Petrol,1500,40000,26000000
Suzuki,Every,2024,Import,Automatic,Petrol,650,2500,8650000
Suzuki,Alto,2026,Import,Automatic,Hybrid,650,2000,7790000
Toyota,Toyota Corolla Cross Z Grade,2026,Brand New (0 KM),e-CVT Automatic,Hybrid,1800,0,29000000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1,0,14550000
Toyota,Raize,2026,Brand New,Automatic,Petrol,1200,0,14850000
Honda,Vezel,2018,Used,Automatic,Hybrid,1500,61000,10700000
Suzuki,Alto,2015,Used,Manual,Petrol,800,168300,4050000
Audi,A3,2023,Used,Automatic,Petrol,1000,26000,15575000
Toyota,Raize,2025,Brand New,Automatic,Petrol,1200,0,14800000
DFSK,Glory,2022,Used,Automatic,Petrol,1498,30336,11000000
Volkswagen,T-Cross,2023,Reconditioned,Automatic,Petrol,1000,7000,12990000
Honda,WR-V,2025,Used,Tiptronic,Petrol,1500,4200,16300000
Toyota,Allion,2016,Used,Automatic,Petrol,1500,132000,13750000
Volvo,S60,2016,Used,"Automatic Edition: T6 AWD Drive-Engine Performance: 316 HP, 400 Nm, 8-speed automatic gearbox (7,000 RPM) Acceleration: 0 - 100 km/h in 5.6 seconds (Top speed: 250 km/h)",Petrol,2000,31000,15900000
BMW,318i,2016,Used,Tiptronic,Petrol,1500,35000,19800000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,50,18675000
Honda,N-Box,2024,Reconditioned,Automatic,Petrol,660,4000,9245000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1496,20,19275000
Toyota,Hilux,2026,Import,Automatic,Diesel,2800,20,28450000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1196,20,13750000
Ford,Raptor Ranger,2025,Used,Automatic,Petrol,2956,30000,29500000
Toyota,Yaris Cross,2024,Reconditioned,Automatic,Petrol,1500,3800,17200000
Honda,Vezel,2023,Brand New,Automatic,Hybrid,1500,37000,17450000
Toyota,Roomy,2023,Brand New,Automatic,Petrol,996,47000,10200000
Toyota,Vitz,2007,Used,Automatic,Petrol,1000,226000,5575000
Toyota,Prius,2015,Used,Automatic,Hybrid,1800,89000,12500000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,20850000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12350000
Toyota,Axio,2013,Used,Automatic,Hybrid,1496,97000,9875000
Honda,Vezel,2026,Brand New,Automatic,Petrol,1500,0,20890000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,200,12600000
Suzuki,Wagon R,2017,Used,Automatic,Petrol,660,67000,6650000
